Sigle	Belegtext	Animacy_finegrained	Lemma	PoS	Ort	Jahr	upperCase	Sprachraum.ost.west	Gender	Kompositum	Period	Animacy3	Animacy	Freq	Rolle {L.S.}	Moralische Bewertung	Prestige_Lemma
S501_Z44	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S501_Z57	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S502_Z95	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S502_Z119	Clägerin	menschlich	klägerin	NN	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	7	Klägerin	positiv	FALSCH
S65_264	knechte	menschlich	knecht	NN	Jever	1592	FALSCH	0	male	0	1	animate	4	5	Justiz&Helfer	positiv	FALSCH
S339_Z77	knecht	menschlich	knecht	NN	Baden-Baden	1628	FALSCH	0	male	0	3	animate	4	5	Justiz&Helfer	positiv	FALSCH
S163_Z233	knechtt	menschlich	knecht	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	5	nicht entschieden	neutral	FALSCH
S163_Z247	knechtt	menschlich	knecht	NB	Güstrow	1615	FALSCH	1	male	0	2	animate	4	5	nicht entschieden	neutral	FALSCH
S325_Z291	knecht	menschlich	knecht	NB	Rosenburg	1618	FALSCH	1	male	0	2	animate	4	5	nicht entschieden	neutral	FALSCH
S465_Z146	Khramer	menschlich	kramer	NB	München	1600	WAHR	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S467_Z195	Khramer	menschlich	kramer	NB	München	1600	WAHR	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S467_Z200	Khramer	menschlich	kramer	NB	München	1600	WAHR	1	male	0	1	animate	4	3	nicht entschieden	neutral	FALSCH
S251_Z51	krieger	menschlich	krieger	NN	Lemberg	1630	FALSCH	0	male	0	3	animate	4	1	nicht entschieden	neutral	FALSCH
S222_Z78	kuehirt	menschlich	kuhhirt	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	5	Kläger	positiv	FALSCH
S222_Z86	kuehirt	menschlich	kuhhirt	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	5	Kläger	positiv	FALSCH
S222_Z88	kuehirt	menschlich	kuhhirt	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	5	Kläger	positiv	FALSCH
S223_Z141	küehirt	menschlich	kuhhirt	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	5	Kläger	positiv	FALSCH
S223_Z138	küehirten	menschlich	kuhhirt	NB	Gaugrehweiler	1610	FALSCH	0	male	1	2	animate	4	5	Kläger	positiv	FALSCH
S322_Z164	Kuesther	menschlich	küster	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	1	Geschädigter	positiv	FALSCH
S311_Z79	Leinenweberin	menschlich	leinenweber	NB	Ostrau	1628	WAHR	1	fem	1	3	animate	2	1	Denunzierte	negativ	FALSCH
S464_Z101	Leinweber	menschlich	leinweber	NB	München	1600	WAHR	1	male	1	1	animate	2	1	nicht entschieden	neutral	FALSCH
S311_Z57	Megdelein	menschlich	mägdlein	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	5	Geschädigte	positiv	FALSCH
S311_Z67	Megdelein	menschlich	mägdlein	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	5	Geschädigte	positiv	FALSCH
S313_Z162	Megdelein	menschlich	mägdlein	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	5	Geschädigte	positiv	FALSCH
S313_Z166	Megdelein	menschlich	mägdlein	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	5	Geschädigte	positiv	FALSCH
S313_Z172	Megdelein	menschlich	mägdlein	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	5	Geschädigte	positiv	FALSCH
S392_Z72	Medlin	menschlich	mädlein	NN	Riedlingen	1596	WAHR	0	fem	0	1	animate	3	1	Geschädigte	positiv	FALSCH
S295_Z184	Magd	menschlich	magd	NB	Georgenthal	1597	WAHR	1	fem	0	1	animate	3	8	Denunzierte	negativ	FALSCH
S157_Z11	Magtt	menschlich	magd	NB	Güstrow	1615	WAHR	1	fem	0	2	animate	3	8	Denunzierte	negativ	FALSCH
S311_Z48	Magt	menschlich	magd	NB	Ostrau	1628	WAHR	1	fem	0	3	animate	3	8	Geschädigte	positiv	FALSCH
S502_Z116	Magdt	menschlich	magd	NB	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	8	Klägerin	positiv	FALSCH
S502_Z118	Magdt	menschlich	magd	NB	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	8	Klägerin	positiv	FALSCH
S503_Z131	Magdt	menschlich	magd	NB	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	8	Klägerin	positiv	FALSCH
S503_Z134	Magdt	menschlich	magd	NB	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	8	nicht entschieden	neutral	FALSCH
S503_Z161	Magdt	menschlich	magd	NB	Schweinfurt	1616	WAHR	1	fem	0	2	animate	3	8	Klägerin	positiv	FALSCH
S16_Z203	man	menschlich	man	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	4	nicht entschieden	neutral	FALSCH
S223_Z152	Man	menschlich	man	NN	Gaugrehweiler	1610	WAHR	0	male	0	2	animate	4	4	nicht entschieden	neutral	FALSCH
S162_Z211	Man	menschlich	man	NN	Güstrow	1615	WAHR	1	male	0	2	animate	4	4	Geschädigter	positiv	FALSCH
S167_Z71	man	menschlich	man	NN	Perleberg	1588	FALSCH	1	male	0	1	animate	4	4	nicht entschieden	neutral	FALSCH
S338_Z18	Mannß	menschlich	mann	NN	Baden-Baden	1628	WAHR	0	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S222_Z119	man	menschlich	mann	NN	Gaugrehweiler	1610	FALSCH	0	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S223_Z148	Man	menschlich	mann	NN	Gaugrehweiler	1610	WAHR	0	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S292_Z46	Mann	menschlich	mann	NN	Georgenthal	1597	WAHR	1	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S292_Z58	Mann	menschlich	mann	NN	Georgenthal	1597	WAHR	1	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S293_Z124	Mann	menschlich	mann	NN	Georgenthal	1597	WAHR	1	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S296_Z220	Manne	menschlich	mann	NN	Georgenthal	1597	WAHR	1	male	0	1	animate	4	40	Geschädigter	positiv	FALSCH
S293_Z117	Menner	menschlich	mann	NN	Georgenthal	1597	WAHR	1	male	0	1	animate	4	40	Geschädigter	positiv	FALSCH
S345_Z13	Mann	menschlich	mann	NN	Günzburg	1613	WAHR	0	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S349_Z164	Mann	menschlich	mann	NN	Günzburg	1613	WAHR	0	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S3456_Z63	Mann	menschlich	mann	NN	Günzburg	1613	WAHR	0	male	0	2	animate	4	40	Geschädigter	positiv	FALSCH
S347_Z107	Manns	menschlich	mann	NN	Günzburg	1613	WAHR	0	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S163_Z249	Manne	menschlich	mann	NN	Güstrow	1615	WAHR	1	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z37	Man	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z40	man	menschlich	mann	NN	Hamm	1592	FALSCH	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z39	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z42	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	Geschädigter	positiv	FALSCH
S227_Z46	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	Geschädigter	positiv	FALSCH
S227_Z52	mann	menschlich	mann	NN	Hamm	1592	FALSCH	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z47	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S227_Z58	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	Denunzierter	negativ	FALSCH
S228_Z89	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S228_Z91	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S228_Z94	Mann	menschlich	mann	NN	Hamm	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S65_Z251	Man	menschlich	mann	NN	Jever	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S65_Z268	Man	menschlich	mann	NN	Jever	1592	WAHR	0	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S59_Z27	Mann	menschlich	mann	NN	Jever	1592	WAHR	0	male	0	1	animate	4	40	Zeuge	neutral	FALSCH
S251_Z52	Mann	menschlich	mann	NN	Lemberg	1630	WAHR	0	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S251_Z65	Mann	menschlich	mann	NN	Lemberg	1630	WAHR	0	male	0	3	animate	4	40	Denunzierter 	negativ	FALSCH
S252_Z103	Mann	menschlich	mann	NN	Lemberg	1630	WAHR	0	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S467_Z197	Mann	menschlich	mann	NN	München	1600	WAHR	1	male	0	1	animate	4	40	nicht entschieden	neutral	FALSCH
S312_Z131	Mann	menschlich	mann	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S310_Z36	Manne	menschlich	mann	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S314_Z194	Manne	menschlich	mann	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S393_Z92	Mann	menschlich	mann	NN	Riedlingen	1596	WAHR	0	male	0	1	animate	4	40	Geschädigter	positiv	FALSCH
S324_Z254	man	menschlich	mann	NN	Rosenburg	1618	FALSCH	1	male	0	2	animate	4	40	Geschädigter	positiv	FALSCH
S324_Z268	man	menschlich	mann	NN	Rosenburg	1618	FALSCH	1	male	0	2	animate	4	40	nicht entschieden	neutral	FALSCH
S175_Z77	Man	menschlich	mann	NN	Stralsund	1630	WAHR	1	male	0	3	animate	4	40	Geschädigter	positiv	FALSCH
S176_Z88	Manne	menschlich	mann	NN	Stralsund	1630	WAHR	1	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S179_Z237	Mannes	menschlich	mann	NN	Stralsund	1630	WAHR	1	male	0	3	animate	4	40	nicht entschieden	neutral	FALSCH
S507_Z327	Männleins	menschlich	männlein	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S507_Z330	Menn- lein	menschlich	männlein	NN	Schweinfurt	1616	WAHR	1	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S339_Z77	Maisters	menschlich	meister	NN	Baden-Baden	1628	WAHR	0	male	0	3	animate	4	3	Justiz&Helfer	positiv	WAHR
S291_Z30	Meister	menschlich	meister	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	3	Justiz&Helfer	positiv	WAHR
S323_Z212	Meister	menschlich	meister	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	3	nicht entschieden	neutral	WAHR
S465_Z126	Mezger	menschlich	metzger	NB	München	1600	WAHR	1	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S465_Z132	Mezger	menschlich	metzger	NB	München	1600	WAHR	1	male	0	1	animate	4	2	nicht entschieden	neutral	FALSCH
S506_Z297	Milchdieb	menschlich	milchdieb	NN	Schweinfurt	1616	WAHR	1	male	1	2	animate	4	4	Angeklagter	negativ	FALSCH
S507_Z316	Milchdieb	menschlich	milchdieb	NN	Schweinfurt	1616	WAHR	1	male	1	2	animate	4	4	Angeklagter	negativ	FALSCH
S508_Z360	Milchdieb	menschlich	milchdieb	NN	Schweinfurt	1616	WAHR	1	male	1	2	animate	4	4	Angeklagter	negativ	FALSCH
S507_Z315LN	Milchdieb	menschlich	milchdieb	NN	Schweinfurt	1616	WAHR	1	male	1	2	animate	4	4	nicht entschieden	neutral	FALSCH
S297_Z282	Milchdiebin	menschlich	milchdiebin	NN	Georgenthal	1597	WAHR	1	fem	1	1	animate	3	4	Angeklagte	negativ	FALSCH
S291_Z37	Millich diebin	menschlich	milchdiebin	NN	Georgenthal	1597	WAHR	1	fem	1	1	animate	3	4	Denunzierte	negativ	FALSCH
S295_Z194	Millich diebin	menschlich	milchdiebin	NN	Georgenthal	1597	WAHR	1	fem	1	1	animate	3	4	Angeklagte	negativ	FALSCH
S508_Z355	Milch- diebin	menschlich	milchdiebin	NN	Schweinfurt	1616	WAHR	1	fem	1	2	animate	3	4	Denunzierte	negativ	FALSCH
S347_106	mitgehilffen	menschlich	mitgehilfe	NN	Günzburg	1613	FALSCH	0	male	0	2	animate	4	1	Denunzierter	negativ	FALSCH
S227_Z40	mitgesell	menschlich	mitgeselle	NB	Hamm	1592	FALSCH	0	male	0	1	animate	4	1	nicht entschieden	neutral	FALSCH
S229_Z141	mitgespillin	menschlich	mitgespielin	NN	Hamm	1592	FALSCH	0	fem	0	1	animate	3	2	Denunzierte	negativ	FALSCH
S253_Z146	mitgespiellen	menschlich	mitgespielin	NN	Lemberg	1630	FALSCH	0	fem	0	3	animate	3	2	nicht entschieden	neutral	FALSCH
S64_Z233	Moder	menschlich	mutter	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	12	Denunzierte	negativ	FALSCH
S60_Z53	Mutter	menschlich	mutter	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	12	Denunzierte 	negativ	FALSCH
S60_Z79	Mutter	menschlich	mutter	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	12	Denunzierte	negativ	FALSCH
S61_Z89	Mutter	menschlich	mutter	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	12	Denunzierte	negativ	FALSCH
S159_Z112	Mutter	menschlich	mutter	NN	Güstrow	1615	WAHR	1	fem	0	2	animate	3	12	Angeklagte	negativ	FALSCH
S160_Z125	mutter	menschlich	mutter	NN	Güstrow	1615	FALSCH	1	fem	0	2	animate	3	12	Angeklagte	negativ	FALSCH
S464_Z99	Muetter	menschlich	mutter	NN	München	1600	WAHR	1	fem	0	1	animate	3	12	nicht entschieden	neutral	FALSCH
S462_Z7	Muettr	menschlich	mutter	NN	München	1600	WAHR	1	fem	0	1	animate	3	12	nicht entschieden	neutral	FALSCH
S167_Z47	mutter	menschlich	mutter	NN	Perleberg	1588	FALSCH	1	fem	0	1	animate	3	12	Angeklagte	negativ	FALSCH
S168_Z79	mutter	menschlich	mutter	NN	Perleberg	1588	FALSCH	1	fem	0	1	animate	3	12	Angeklagte	negativ	FALSCH
S168_Z92	mutter	menschlich	mutter	NN	Perleberg	1588	FALSCH	1	fem	0	1	animate	3	12	Angeklagte	negativ	FALSCH
S65_Z245	Nachbarn	menschlich	nachbar	NN	Jever	1592	WAHR	0	male	0	1	animate	4	2	Geschädigter	positiv	FALSCH
S223_Z152	Nachpauren	menschlich	nachbar	NN	Gaugrehweiler	1610	WAHR	0	male	0	2	animate	4	2	nicht entschieden	neutral	FALSCH
S292_Z63	Nachtbarin	menschlich	nachbarin	NN	Georgenthal	1597	WAHR	1	fem	0	1	animate	3	1	Geschädigte	positiv	FALSCH
S253_Z136	Nachkömlingen	menschlich	nachkömmling	NN	Lemberg	1630	WAHR	0	male	0	3	animate	4	1	Denunzierter	negativ	FALSCH
S226_Z30	Nachrichters	menschlich	nachrichter	NB	Hamm	1592	WAHR	0	male	0	1	animate	4	2	Justiz&Helfer	positiv	FALSCH
S395_Z185	Nachrichter	menschlich	nachrichter	NN	Riedlingen	1596	WAHR	0	male	0	1	animate	4	2	Justiz&Helfer	positiv	FALSCH
S318_Z33	Nachthutter	menschlich	nachthüter	NB	Rosenburg	1618	WAHR	1	male	1	2	animate	4	1	nicht entschieden	neutral	FALSCH
S323_Z225	Närrin	menschlich	närrin	NN	Rosenburg	1618	WAHR	1	fem	0	2	animate	3	1	Angeklagte	negativ	FALSCH
S229_Z143	obersten 	menschlich	oberster	NB	Hamm	1592	FALSCH	0	male	0	1	animate	3	4	nicht entschieden	neutral	FALSCH
S63_Z163	Obriste	menschlich	obrist	NN	Jever	1592	WAHR	0	male	0	1	animate	4	5	Denunzierter	negativ	FALSCH
S63_Z173	Obrister	menschlich	obrist	NN	Jever	1592	WAHR	0	male	0	1	animate	4	5	Denunzierter	negativ	FALSCH
S16_Z208	obrister	menschlich	obrist	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	5	Denunzierter	negativ	FALSCH
S_15_Z188	obrister	menschlich	obrist	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	5	Denunzierter	negativ	FALSCH
S16_Z224	obrister	menschlich	obrist	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	5	Denunzierter	negativ	FALSCH
S251_Z65	Paff	menschlich	paff	NB	Lemberg	1630	WAHR	0	male	0	3	animate	4	1	nicht entschieden	neutral	FALSCH
S65_Z282	pastors	menschlich	pastor	NN	Jever	1592	FALSCH	0	male	0	1	animate	4	1	Justiz&Helfer	positiv	WAHR
S318_Z24	Pfarrer	menschlich	pfarrer	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	2	Zeuge	neutral	WAHR
S318_Z11	Pfarrers	menschlich	pfarrer	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	2	Zeuge	neutral	WAHR
S230_Z159	peiffer	menschlich	pfeifer	NB	Hamm	1592	FALSCH	0	male	0	1	animate	4	2	Denunzierter	negativ	FALSCH
S230_Z163	peiffer	menschlich	pfeifer	NB	Hamm	1592	FALSCH	0	male	0	1	animate	4	2	Denunzierter	negativ	FALSCH
S501_Z46	Pfleg dochter	menschlich	pflegetochter	NN	Schweinfurt	1616	WAHR	1	fem	1	2	animate	3	1	nicht entschieden	neutral	FALSCH
S347_Z106	Rathgebern	menschlich	ratgeber	NN	Günzburg	1613	WAHR	0	male	1	2	animate	4	1	Denunzierter	negativ	FALSCH
S466_Z183	Rathsherr	menschlich	ratsherr	NB	München	1600	WAHR	1	male	1	1	animate	4	1	nicht entschieden	neutral	WAHR
S296_214	Richter	menschlich	richter	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S291_Z7	Richters	menschlich	richter	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S291_Z240	Richters	menschlich	richter	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S293_Z104	Richters	menschlich	richter	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S293_Z108	Richters	menschlich	richter	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S226_Z7	Richter	menschlich	richter	NB	Hamm	1592	WAHR	0	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S226_Z11	Richter	menschlich	richter	NB	Hamm	1592	WAHR	0	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S229_Z124	Richter	menschlich	richter	NB	Hamm	1592	WAHR	0	male	0	1	animate	4	12	Geschädigter	positiv	WAHR
S168_Z102	Richters	menschlich	richter	NB	Perleberg	1588	WAHR	1	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S395_Z168	Richter	menschlich	richter	NB	Riedlingen	1596	WAHR	0	male	0	1	animate	4	12	Justiz&Helfer	positiv	WAHR
S321_Z160	Richter	menschlich	richter	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	12	Justiz&Helfer	positiv	WAHR
S323_Z238	Richter	menschlich	richter	NB	Rosenburg	1618	WAHR	1	male	0	2	animate	4	12	Justiz&Helfer	positiv	WAHR
S295_Z178	Sack pfeiffer	menschlich	sackpfeifer	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	2	2	Denunzierter	negativ	FALSCH
S394_Z135	Sackhpfeiffer	menschlich	sackpfeifer	NN	Riedlingen	1596	WAHR	0	male	1	1	animate	2	2	Denunzierter	negativ	FALSCH
S322_Z193	Schefferin	menschlich	schäferin	NB	Rosenburg	1618	WAHR	1	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S323_Z207	Schefferin	menschlich	schäferin	NB	Rosenburg	1618	WAHR	1	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S323_Z243	Schefferin	menschlich	schäferin	NB	Rosenburg	1618	WAHR	1	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S17_Z244	Scheper	menschlich	schäfer	NB	Alme	1630	WAHR	0	male	0	3	animate	4	2	Geschädigter	positiv	FALSCH
S17_Z247	schepern	menschlich	schäfer	NB	Alme	1630	FALSCH	0	male	0	3	animate	4	2	Geschädigter	positiv	FALSCH
S320_Z101	Schäfferin	menschlich	schäferin	NB	Rosenburg	1618	WAHR	1	fem	0	2	animate	3	4	Geschädigte	positiv	FALSCH
S223_Z135	schaffhirtin	menschlich	schafhirt	NB	Gaugrehweiler	1610	FALSCH	0	fem	1	2	animate	4	1	Denunzierte	negativ	FALSCH
S320_Z96	Schaffmeisterin	menschlich	schafmeister	NB	Rosenburg	1618	WAHR	1	fem	1	2	animate	4	4	Geschädigte	positiv	FALSCH
S322_Z197	Schafmeisterin	menschlich	schafmeister	NB	Rosenburg	1618	WAHR	1	fem	1	2	animate	4	4	Geschädigte	positiv	FALSCH
S322_Z199	Schafmeisterin	menschlich	schafmeister	NB	Rosenburg	1618	WAHR	1	fem	1	2	animate	4	4	Geschädigte	positiv	FALSCH
S323_Z217	Schafmeisterin	menschlich	schafmeister	NB	Rosenburg	1618	WAHR	1	fem	1	2	animate	4	4	Geschädigte	positiv	FALSCH
S250_Z12	Scharpff- richter	menschlich	scharfrichter	NB	Lemberg	1630	WAHR	0	male	1	3	animate	4	3	Justiz&Helfer	positiv	WAHR
S250_Z33	Scharpffrichter	menschlich	scharfrichter	NB	Lemberg	1630	WAHR	0	male	1	3	animate	4	3	Justiz&Helfer	positiv	WAHR
S250_Z34	Scharpffrichtter	menschlich	scharfrichter	NB	Lemberg	1630	WAHR	0	male	1	3	animate	4	3	Justiz&Helfer	positiv	WAHR
S414_Z84	Schelmb	menschlich	schelm	NN	Bamberg	1628	WAHR	1	male	0	3	animate	4	2	Angeklagter	negativ	FALSCH
S313_Z153	Schelm	menschlich	schelm	NN	Ostrau	1628	WAHR	1	male	0	3	animate	4	2	Denunzierter	negativ	FALSCH
S296_Z236	Schencken	menschlich	schenk	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	1	Geschädigter	positiv	FALSCH
S417_Z213	Schlosser	menschlich	schlosser	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	2	Denunzierter	negativ	FALSCH
S417_Z217LN	Schlosser	menschlich	schlosser	NB	Bamberg	1628	WAHR	1	male	0	3	animate	4	2	Denunzierter	negativ	FALSCH
S293_Z120	Schmides	menschlich	schmied	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	1	nicht entschieden	neutral	FALSCH
S296_Z229	schneider	menschlich	schneider	NB	Georgenthal	1597	FALSCH	1	male	0	1	animate	4	1	Geschädigter	positiv	FALSCH
S296_Z214	Schöpffen	menschlich	schöffe	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	4	Justiz&Helfer	positiv	FALSCH
S293_Z105	Schöpffenn	menschlich	schöffe	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	4	Justiz&Helfer	positiv	FALSCH
S293_Z109	Schöpffenn	menschlich	schöffe	NB	Georgenthal	1597	WAHR	1	male	0	1	animate	4	4	Justiz&Helfer	positiv	FALSCH
S168_Z102	Schöp-   pen	menschlich	schöffe	NB	Perleberg	1588	WAHR	1	male	0	1	animate	4	4	Justiz&Helfer	positiv	FALSCH
S291_Z28	Schulmeister	menschlich	schulmeister	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	4	2	Geschädigter	positiv	WAHR
S295_Z180	Schulmeister	menschlich	schulmeister	NB	Georgenthal	1597	WAHR	1	male	1	1	animate	4	2	Geschädigter	positiv	WAHR
S160_Z129	Schultz	menschlich	schulz	NB	Güstrow	1615	WAHR	1	male	0	2	animate	4	1	Geschädigter	positiv	FALSCH
S160_Z124	Schultzen	menschlich	schulze	NB	Güstrow	1615	WAHR	1	male	0	2	animate	4	1	Geschädigter	positiv	FALSCH
S179_Z228	Schuster	menschlich	schuster	NB	Stralsund	1630	WAHR	1	male	0	3	animate	4	1	nicht entschieden	neutral	FALSCH
S62_Z134	Swegersche	menschlich	schwager	NN	Jever	1592	WAHR	0	fem	0	1	animate	4	2	Denunzierte	negativ	FALSCH
S296_Z222	schwager	menschlich	schwager	NN	Georgenthal	1597	FALSCH	1	male	0	1	animate	4	2	Geschädigter	positiv	FALSCH
S178_Z169	Schwede	menschlich	schwede	NN	Stralsund	1630	WAHR	1	male	0	3	animate	4	1	nicht entschieden	neutral	FALSCH
S62_Z129	Swester	menschlich	schwester	NN	Jever	1592	WAHR	0	fem	0	1	animate	3	7	Denunzierte	negativ	FALSCH
S12_Z59	Schwester	menschlich	schwester	NN	Alme	1630	WAHR	0	fem	0	3	animate	3	7	Denunzierte	negativ	FALSCH
S12_Z62	Schwester	menschlich	schwester	NN	Alme	1630	WAHR	0	fem	0	3	animate	3	7	Denunzierte	negativ	FALSCH
S221_Z60	schwester	menschlich	schwester	NN	Gaugrehweiler	1610	FALSCH	0	fem	0	2	animate	3	7	nicht entschieden	neutral	FALSCH
S296_Z217	schwester	menschlich	schwester	NN	Georgenthal	1597	FALSCH	1	fem	0	1	animate	3	7	Geschädigte	positiv	FALSCH
S253_Z162	Schwester	menschlich	schwester	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	7	Geschädigte	positiv	FALSCH
S254_Z167	Schwester	menschlich	schwester	NN	Lemberg	1630	WAHR	0	fem	0	3	animate	3	7	Geschädigte	positiv	FALSCH
S465_Z145	Schwehern	menschlich	schwiegervater	NN	München	1600	WAHR	1	male	0	1	animate	4	1	nicht entschieden	neutral	FALSCH
S12_Z53	sohn	menschlich	sohn	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	37	Denunzierter	negativ	FALSCH
S15_Z192	sohn	menschlich	sohn	NN	Alme	1630	FALSCH	0	male	0	3	animate	4	37	Denunzierter	negativ	FALSCH
S419_Z271	Sohn	menschlich	sohn	NN	Bamberg	1628	WAHR	1	male	0	3	animate	4	37	Geschädigter	positiv	FALSCH
S220_Z11	Sohn	menschlich	sohn	NN	Gaugrehweiler	1610	WAHR	0	male	0	2	animate	4	37	Justiz&Helfer	positiv	FALSCH
S221_Z44	Sohnen	menschlich	sohn	NN	Gaugrehweiler	1610	WAHR	0	male	0	2	animate	4	37	Geschädigter	positiv	FALSCH
S296_Z217	sohn	menschlich	sohn	NN	Georgenthal	1597	FALSCH	1	male	0	1	animate	4	37	Geschädigter	positiv	FALSCH
